date_id,full_date,year,month,day,weeknum,day_of_week,quarter
111,2011-04-21,2011,4,21,16,Thursday,2
112,2011-04-22,2011,4,22,16,Friday,2
113,2011-04-23,2011,4,23,16,Saturday,2
114,2011-04-24,2011,4,24,16,Sunday,2
115,2011-04-25,2011,4,25,17,Monday,2
116,2011-04-26,2011,4,26,17,Tuesday,2
117,2011-04-27,2011,4,27,17,Wednesday,2
118,2011-04-28,2011,4,28,17,Thursday,2
119,2011-04-29,2011,4,29,17,Friday,2
120,2011-04-30,2011,4,30,17,Saturday,2
121,2011-05-01,2011,5,1,17,Sunday,2
122,2011-05-02,2011,5,2,18,Monday,2
123,2011-05-03,2011,5,3,18,Tuesday,2
124,2011-05-04,2011,5,4,18,Wednesday,2
125,2011-05-05,2011,5,5,18,Thursday,2
126,2011-05-06,2011,5,6,18,Friday,2
127,2011-05-07,2011,5,7,18,Saturday,2
128,2011-05-08,2011,5,8,18,Sunday,2
129,2011-05-09,2011,5,9,19,Monday,2
130,2011-05-10,2011,5,10,19,Tuesday,2
131,2011-05-11,2011,5,11,19,Wednesday,2
132,2011-05-12,2011,5,12,19,Thursday,2
133,2011-05-13,2011,5,13,19,Friday,2
134,2011-05-14,2011,5,14,19,Saturday,2
135,2011-05-15,2011,5,15,19,Sunday,2
136,2011-05-16,2011,5,16,20,Monday,2
137,2011-05-17,2011,5,17,20,Tuesday,2
138,2011-05-18,2011,5,18,20,Wednesday,2
139,2011-05-19,2011,5,19,20,Thursday,2
140,2011-05-20,2011,5,20,20,Friday,2
141,2011-05-21,2011,5,21,20,Saturday,2
142,2011-05-22,2011,5,22,20,Sunday,2
143,2011-05-23,2011,5,23,21,Monday,2
144,2011-05-24,2011,5,24,21,Tuesday,2
145,2011-05-25,2011,5,25,21,Wednesday,2
146,2011-05-26,2011,5,26,21,Thursday,2
147,2011-05-27,2011,5,27,21,Friday,2
148,2011-05-28,2011,5,28,21,Saturday,2
149,2011-05-29,2011,5,29,21,Sunday,2
150,2011-05-30,2011,5,30,22,Monday,2
151,2011-05-31,2011,5,31,22,Tuesday,2
152,2011-06-01,2011,6,1,22,Wednesday,2
153,2011-06-02,2011,6,2,22,Thursday,2
154,2011-06-03,2011,6,3,22,Friday,2
155,2011-06-04,2011,6,4,22,Saturday,2
156,2011-06-05,2011,6,5,22,Sunday,2
157,2011-06-06,2011,6,6,23,Monday,2
158,2011-06-07,2011,6,7,23,Tuesday,2
159,2011-06-08,2011,6,8,23,Wednesday,2
160,2011-06-09,2011,6,9,23,Thursday,2
161,2011-06-10,2011,6,10,23,Friday,2
162,2011-06-11,2011,6,11,23,Saturday,2
163,2011-06-12,2011,6,12,23,Sunday,2
164,2011-06-13,2011,6,13,24,Monday,2
165,2011-06-14,2011,6,14,24,Tuesday,2
166,2011-06-15,2011,6,15,24,Wednesday,2
167,2011-06-16,2011,6,16,24,Thursday,2
168,2011-06-17,2011,6,17,24,Friday,2
169,2011-06-18,2011,6,18,24,Saturday,2
170,2011-06-19,2011,6,19,24,Sunday,2
171,2011-06-20,2011,6,20,25,Monday,2
172,2011-06-21,2011,6,21,25,Tuesday,2
173,2011-06-22,2011,6,22,25,Wednesday,2
174,2011-06-23,2011,6,23,25,Thursday,2
175,2011-06-24,2011,6,24,25,Friday,2
176,2011-06-25,2011,6,25,25,Saturday,2
177,2011-06-26,2011,6,26,25,Sunday,2
178,2011-06-27,2011,6,27,26,Monday,2
179,2011-06-28,2011,6,28,26,Tuesday,2
180,2011-06-29,2011,6,29,26,Wednesday,2
181,2011-06-30,2011,6,30,26,Thursday,2
182,2011-07-01,2011,7,1,26,Friday,3
183,2011-07-02,2011,7,2,26,Saturday,3
184,2011-07-03,2011,7,3,26,Sunday,3
185,2011-07-04,2011,7,4,27,Monday,3
186,2011-07-05,2011,7,5,27,Tuesday,3
187,2011-07-06,2011,7,6,27,Wednesday,3
188,2011-07-07,2011,7,7,27,Thursday,3
189,2011-07-08,2011,7,8,27,Friday,3
190,2011-07-09,2011,7,9,27,Saturday,3
191,2011-07-10,2011,7,10,27,Sunday,3
192,2011-07-11,2011,7,11,28,Monday,3
193,2011-07-12,2011,7,12,28,Tuesday,3
194,2011-07-13,2011,7,13,28,Wednesday,3
195,2011-07-14,2011,7,14,28,Thursday,3
196,2011-07-15,2011,7,15,28,Friday,3
197,2011-07-16,2011,7,16,28,Saturday,3
198,2011-07-17,2011,7,17,28,Sunday,3
199,2011-07-18,2011,7,18,29,Monday,3
200,2011-07-19,2011,7,19,29,Tuesday,3
201,2011-07-20,2011,7,20,29,Wednesday,3
202,2011-07-21,2011,7,21,29,Thursday,3
203,2011-07-22,2011,7,22,29,Friday,3
204,2011-07-23,2011,7,23,29,Saturday,3
205,2011-07-24,2011,7,24,29,Sunday,3
206,2011-07-25,2011,7,25,30,Monday,3
207,2011-07-26,2011,7,26,30,Tuesday,3
208,2011-07-27,2011,7,27,30,Wednesday,3
209,2011-07-28,2011,7,28,30,Thursday,3
210,2011-07-29,2011,7,29,30,Friday,3
211,2011-07-30,2011,7,30,30,Saturday,3
212,2011-07-31,2011,7,31,30,Sunday,3
213,2011-08-01,2011,8,1,31,Monday,3
214,2011-08-02,2011,8,2,31,Tuesday,3
215,2011-08-03,2011,8,3,31,Wednesday,3
216,2011-08-04,2011,8,4,31,Thursday,3
217,2011-08-05,2011,8,5,31,Friday,3
218,2011-08-06,2011,8,6,31,Saturday,3
219,2011-08-07,2011,8,7,31,Sunday,3
220,2011-08-08,2011,8,8,32,Monday,3
221,2011-08-09,2011,8,9,32,Tuesday,3
222,2011-08-10,2011,8,10,32,Wednesday,3
223,2011-08-11,2011,8,11,32,Thursday,3
224,2011-08-12,2011,8,12,32,Friday,3
225,2011-08-13,2011,8,13,32,Saturday,3
226,2011-08-14,2011,8,14,32,Sunday,3
227,2011-08-15,2011,8,15,33,Monday,3
228,2011-08-16,2011,8,16,33,Tuesday,3
229,2011-08-17,2011,8,17,33,Wednesday,3
230,2011-08-18,2011,8,18,33,Thursday,3
231,2011-08-19,2011,8,19,33,Friday,3
232,2011-08-20,2011,8,20,33,Saturday,3
233,2011-08-21,2011,8,21,33,Sunday,3
234,2011-08-22,2011,8,22,34,Monday,3
235,2011-08-23,2011,8,23,34,Tuesday,3
236,2011-08-24,2011,8,24,34,Wednesday,3
237,2011-08-25,2011,8,25,34,Thursday,3
238,2011-08-26,2011,8,26,34,Friday,3
239,2011-08-27,2011,8,27,34,Saturday,3
240,2011-08-28,2011,8,28,34,Sunday,3
241,2011-08-29,2011,8,29,35,Monday,3
242,2011-08-30,2011,8,30,35,Tuesday,3
243,2011-08-31,2011,8,31,35,Wednesday,3
244,2011-09-01,2011,9,1,35,Thursday,3
245,2011-09-02,2011,9,2,35,Friday,3
246,2011-09-03,2011,9,3,35,Saturday,3
247,2011-09-04,2011,9,4,35,Sunday,3
248,2011-09-05,2011,9,5,36,Monday,3
249,2011-09-06,2011,9,6,36,Tuesday,3
250,2011-09-07,2011,9,7,36,Wednesday,3
251,2011-09-08,2011,9,8,36,Thursday,3
252,2011-09-09,2011,9,9,36,Friday,3
253,2011-09-10,2011,9,10,36,Saturday,3
254,2011-09-11,2011,9,11,36,Sunday,3
255,2011-09-12,2011,9,12,37,Monday,3
256,2011-09-13,2011,9,13,37,Tuesday,3
257,2011-09-14,2011,9,14,37,Wednesday,3
258,2011-09-15,2011,9,15,37,Thursday,3
259,2011-09-16,2011,9,16,37,Friday,3
260,2011-09-17,2011,9,17,37,Saturday,3
261,2011-09-18,2011,9,18,37,Sunday,3
262,2011-09-19,2011,9,19,38,Monday,3
263,2011-09-20,2011,9,20,38,Tuesday,3
264,2011-09-21,2011,9,21,38,Wednesday,3
265,2011-09-22,2011,9,22,38,Thursday,3
266,2011-09-23,2011,9,23,38,Friday,3
267,2011-09-24,2011,9,24,38,Saturday,3
268,2011-09-25,2011,9,25,38,Sunday,3
269,2011-09-26,2011,9,26,39,Monday,3
270,2011-09-27,2011,9,27,39,Tuesday,3
271,2011-09-28,2011,9,28,39,Wednesday,3
272,2011-09-29,2011,9,29,39,Thursday,3
273,2011-09-30,2011,9,30,39,Friday,3
